product_image_url,product_price
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/510763/1.jpg?7244," 5,508"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/854894/1.jpg?4615," 6,369"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/023595/1.jpg?8221," 3,490"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/784433/1.jpg?4252," 4,900"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/101026/1.jpg?0710," 6,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/624316/1.jpg?4998," 7,738"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/819471/1.jpg?4777," 4,699"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/850916/1.jpg?3733," 17,808"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/947971/1.jpg?9768,"₦ 3,700"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/021574/1.jpg?9967," 5,250"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/553263/1.jpg?1077," 7,950"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/664823/1.jpg?3837," 5,181"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/105164/1.jpg?9346," 5,229"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/542671/1.jpg?1812," 4,524 - ₦ 4,807"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/279816/1.jpg?9168,"₦ 7,483"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/040993/1.jpg?4129," 5,508"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/371983/1.jpg?3259," 5,999"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/063715/1.jpg?0184," 3,840"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/858654/1.jpg?7769," 5,900"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/008302/1.jpg?3381," 3,477"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/691126/1.jpg?2806," 6,768"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/123473/1.jpg?4745," 4,000 - ₦ 4,500"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/429016/1.jpg?9089," 1,900"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/360602/1.jpg?3044," 8,030 - ₦ 8,816"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/987026/1.jpg?7315," 6,290"
